# Which pre-registered block each run belongs to. THIS FILE IS A DECLARATION, NOT AN INFERENCE.
#
# Experimental intent -- "this run was launched to test A8" -- is the one thing no training flag
# records, so it cannot be derived from run_args.json the way every other ledger column is. The
# 2026-07-30 sweep (METHODS_DATA 5A.3) removed lexical run-name matching everywhere it stood in
# for a FLAG, because a name is a guess about a fact the flags already hold. This file is the
# opposite case: a human-authored, dated record of something the flags never held. Guessing it
# from a name would be wrong; declaring it here is the correct replacement.
#
# Matching is by run-name PREFIX, longest match wins. Runs matching nothing get an empty
# preregistration_block and are counted in build_runs_ledger's output -- an unassigned run is a
# visible gap, not a silent default.
#
# ADD A ROW WHEN YOU FREEZE A QUEUE, not when you read its results.
#
# prefix,block,declared_on,artifact
RAFDB_vae9182_flatcontrol,A1,2026-07-24,rafdb_p1_vae9182_flatcontrol_queue.ps1
RAFDB_vae9182_miscalT0731,A2,2026-07-25,rafdb_p3_then_miscal_chain.ps1
RAFDB_stage1_tempscale_,A6,2026-07-23,rafdb_p1_temperature_doseresponse_queue.ps1
# 2026-08-27 (PD turu). T1341_halfA kosusu 21 Tem 11:14'te B3 yari-bolme denemesi olarak
# firlatildi; A6 o anda heniz beyan edilmemisti (donduruldu 23 Tem 10:34 -- 47 saat sonra).
# Ustteki genel onek bu kosuyu da A6'ya süpürüyordu ve runs.csv'de A6'nin en erken damgasi
# beyandan onceye dusuyordu. Asagidaki daha-uzun onek (en-uzun-onek kurali) kosuyu BOS bloga
# esler: hicbir on-kayit blogu altinda firlatilmadi; A6 izgarasi SONUCUNU yeniden kullanir
# (PREREGISTRATIONS.md A6 blogunun "kismen" notu tam bunu kaydeder). Ustteki tarihli satira
# dokunulmadi; bu satir bugunun tarihli eklemesidir.
RAFDB_stage1_tempscale_T1341_halfA_,,2026-08-27,-
RAFDB_vae9182_tempscale_,A1,2026-07-24,rafdb_p1_vae9182_flatcontrol_queue.ps1
RAFDB_stage1_logit_std_b070_T6_224_400e_swa200_seed,A7,2026-07-29,rafdb_p1_logit_std_seeds_queue.ps1
